time,temperature_2m (°C),rain (mm),snowfall (cm),wind_speed_180m (km/h)
2026-02-25T00:00,6.5,0,0,a
2026-02-25T01:00,6.3,0,0,12
2026-02-25T02:00,4.4,0,0,17.1
2026-02-25T03:00,4.3,0,0,14.5
2026-02-25T04:00,,0,0,11
2026-02-25T05:00,2.5,0,0,11.5
2026-02-25T06:00,2.1,0,0,9
2026-02-25T07:00,1.9,0,0,2.2
2026-02-25T08:00,1.6,0,0,3.4
2026-02-25T09:00,1.5,0,0,8.7
2026-02-25T10:00,2.4,0,0,15.9
2026-02-25T11:00,2.2,0,0,20.4
2026-02-25T12:00,2.9,0,0,14.3
2026-02-25T13:00,4.2,0,0,14.3
2026-02-25T14:00,5.1,0,0,12.3
2026-02-25T15:00,6.4,0,0,13.4
2026-02-25T16:00,7.5,0,0,14.7
2026-02-25T17:00,7.7,0,0,16.3
2026-02-25T18:00,7.2,0,0,15.9
2026-02-25T19:00,6.4,0,0,25.5
2026-02-25T20:00,5.3,0,0,33.6
2026-02-25T21:00,4.4,0,0,34
2026-02-25T22:00,3.7,0,0,33.8
2026-02-25T23:00,3.1,0,0,33
2026-02-26T00:00,2.7,0,0,35.4
2026-02-26T01:00,2.4,0,0,36.4
2026-02-26T02:00,2.2,0,0,36.4
2026-02-26T03:00,2,0,0,37.4
2026-02-26T04:00,1.9,0,0,37.4
2026-02-26T05:00,1.8,0,0,37.1
2026-02-26T06:00,1.8,0,0,36.4
2026-02-26T07:00,1.7,0,0,37.4
2026-02-26T08:00,1.7,0,0,36.7
2026-02-26T09:00,2.1,0,0,36
2026-02-26T10:00,3.3,0,0,36.4
2026-02-26T11:00,5.4,0,0,35.7
2026-02-26T12:00,7.9,0,0,30.7
2026-02-26T13:00,10.3,0,0,22
2026-02-26T14:00,12.2,0,0,23.1
2026-02-26T15:00,13.4,0,0,20.7
2026-02-26T16:00,14,0,0,21.2
2026-02-26T17:00,13.8,0,0,22.5
2026-02-26T18:00,13.4,0,0,25.5
2026-02-26T19:00,12.4,0,0,31.9
2026-02-26T20:00,11.2,0,0,32.4
2026-02-26T21:00,10.1,0,0,31.7
2026-02-26T22:00,9.3,0,0,32.9
2026-02-26T23:00,8.8,0,0,31.9
2026-02-27T00:00,8.3,0,0,31
2026-02-27T01:00,8.3,0,0,27.7
2026-02-27T02:00,7.8,0,0,23
2026-02-27T03:00,7.6,0,0,26.5
2026-02-27T04:00,7.3,0,0,29.5
2026-02-27T05:00,7.4,0,0,32.5
2026-02-27T06:00,7.3,0,0,34.3
2026-02-27T07:00,7.1,0,0,34
2026-02-27T08:00,6.9,0,0,37.5
2026-02-27T09:00,7.1,0,0,41
2026-02-27T10:00,8.3,0,0,47.2
2026-02-27T11:00,10.1,0,0,47.4
2026-02-27T12:00,11.9,0,0,42.2
2026-02-27T13:00,13.4,0,0,27.8
2026-02-27T14:00,14.5,0,0,28.3
2026-02-27T15:00,15.4,0,0,30.8
2026-02-27T16:00,16.1,0,0,30.8
2026-02-27T17:00,16.2,0,0,32.9
2026-02-27T18:00,15.4,0,0,35
2026-02-27T19:00,13.8,0,0,40.9
2026-02-27T20:00,12.6,0,0,46.7
2026-02-27T21:00,11.9,0,0,47.9
2026-02-27T22:00,10.9,0,0,45.2
2026-02-27T23:00,10.3,0,0,36.5
2026-02-28T00:00,9.8,0,0,27.6
2026-02-28T01:00,9.2,0,0,25.6
2026-02-28T02:00,8.7,0,0,26.7
2026-02-28T03:00,8.2,0,0,25.3
2026-02-28T04:00,8.1,0,0,24.6
2026-02-28T05:00,8.1,0,0,21.3
2026-02-28T06:00,8.1,0,0,19.8
2026-02-28T07:00,8.3,0.1,0,18.7
2026-02-28T08:00,8.4,0.2,0,15.5
2026-02-28T09:00,8.7,0.1,0,14.4
2026-02-28T10:00,9,0.1,0,13.3
2026-02-28T11:00,9.4,0.1,0,11.9
2026-02-28T12:00,10.2,0,0,9
2026-02-28T13:00,11.1,0,0,5.1
2026-02-28T14:00,11.7,0,0,3.1
2026-02-28T15:00,12,0,0,5.4
2026-02-28T16:00,12.1,0,0,9.4
2026-02-28T17:00,11.9,0,0,12.7
2026-02-28T18:00,11.3,0,0,14.8
2026-02-28T19:00,10.5,0,0,16.3
2026-02-28T20:00,9.9,0,0,18.8
2026-02-28T21:00,9.6,0,0,26.3
2026-02-28T22:00,9.6,0,0,36.8
2026-02-28T23:00,9.6,0,0,44
2026-03-01T00:00,9.8,0.2,0,43.7
2026-03-01T01:00,10.1,0.2,0,42.6
2026-03-01T02:00,10.1,0.2,0,43.8
2026-03-01T03:00,9.6,0,0,43.8
2026-03-01T04:00,8.8,0,0,42.2
2026-03-01T05:00,8.1,0,0,41
2026-03-01T06:00,7.4,0,0,41.4
2026-03-01T07:00,6.8,0,0,42.2
2026-03-01T08:00,6.6,0,0,42.2
2026-03-01T09:00,6.9,0,0,40.4
2026-03-01T10:00,7.6,0,0,38
2026-03-01T11:00,8.3,0,0,35.7
2026-03-01T12:00,8.8,0,0,33.5
2026-03-01T13:00,9.4,0,0,31.1
2026-03-01T14:00,9.7,0,0,28.8
2026-03-01T15:00,9.7,0,0,26.2
2026-03-01T16:00,9.5,0,0,23.6
2026-03-01T17:00,9.1,0,0,20.5
2026-03-01T18:00,8.6,0,0,16.5
2026-03-01T19:00,7.8,0,0,13
2026-03-01T20:00,7.1,0,0,10.6
2026-03-01T21:00,6.5,0,0,7.8
2026-03-01T22:00,5.9,0,0,4
2026-03-01T23:00,5.4,0,0,1.3
2026-03-02T00:00,4.8,0,0,3.8
2026-03-02T01:00,4.4,0,0,7.3
2026-03-02T02:00,3.9,0,0,10.5
2026-03-02T03:00,3.4,0,0,13.2
2026-03-02T04:00,3,0,0,14.9
2026-03-02T05:00,2.8,0,0,16.5
2026-03-02T06:00,2.8,0,0,18
2026-03-02T07:00,2.9,0,0,19.4
2026-03-02T08:00,3.1,0,0,21.1
2026-03-02T09:00,3.2,0,0,24
2026-03-02T10:00,3.4,0,0,27
2026-03-02T11:00,4,0,0,27.4
2026-03-02T12:00,5.2,0,0,23.2
2026-03-02T13:00,6.9,0,0,17.5
2026-03-02T14:00,8.3,0,0,15
2026-03-02T15:00,9.4,0,0,16.2
2026-03-02T16:00,10.2,0,0,18.9
2026-03-02T17:00,10.5,0,0,22.3
2026-03-02T18:00,9.9,0,0,27
2026-03-02T19:00,8.6,0,0,32.9
2026-03-02T20:00,7.4,0,0,37.4
2026-03-02T21:00,6.6,0,0,40.5
2026-03-02T22:00,5.9,0,0,42.5
2026-03-02T23:00,5.3,0,0,43
2026-03-03T00:00,4.6,0,0,41.9
2026-03-03T01:00,3.9,0,0,39.8
2026-03-03T02:00,3.4,0,0,37.3
2026-03-03T03:00,3.1,0,0,34.5
2026-03-03T04:00,2.9,0,0,31.3
2026-03-03T05:00,2.7,0,0,28.5
2026-03-03T06:00,2.4,0,0,26.8
2026-03-03T07:00,2.1,0,0,25.1
2026-03-03T08:00,2.3,0,0,23.4
2026-03-03T09:00,3.2,0,0,21.8
2026-03-03T10:00,4.6,0,0,20
2026-03-03T11:00,6.1,0,0,17.8
2026-03-03T12:00,7.9,0,0,13.6
2026-03-03T13:00,9.9,0,0,8.4
2026-03-03T14:00,11.4,0,0,4.2
2026-03-03T15:00,12.2,0,0,2.8
2026-03-03T16:00,12.6,0,0,3.6
2026-03-03T17:00,12.5,0,0,4.8
2026-03-03T18:00,11.8,0,0,5.6
2026-03-03T19:00,10.6,0,0,6.7
2026-03-03T20:00,9.4,0,0,8.1
2026-03-03T21:00,8.6,0,0,10
2026-03-03T22:00,7.8,0,0,12.2
2026-03-03T23:00,7.2,0,0,13.7
